roll,pitch,yaw,longi,lati,chargeRC,chargeTele,temp,velocity,result
90.53,46.81,103.97,0.0,0.0,0.04,7.46,22,0,1
74.25,-43.43,73.39,0.0,0.0,0.07,7.53,22,0,1
74.93,26.6,25.5,0.0,0.0,0.07,7.7,22,0,1
8.57,-25.92,349.52,0.0,0.0,0.04,7.49,22,0,1
5.52,-16.35,94.94,0.0,0.0,0.14,7.7,22,0,1
3.98,-2.27,219.19,0.0,0.0,0.44,8.24,21,0,1
9.16,-34.15,146.02,0.0,0.0,0.04,7.44,22,0,1
-23.62,15.07,162.48,0.0,0.0,0.04,7.34,22,0,1
3.51,4.21,289.78,0.0,0.0,0.32,7.79,22,0,1
100.17,7.08,84.5,0.0,0.0,0.04,7.44,22,0,1
72.38,30.91,121.5,0.0,0.0,0.04,7.42,22,0,1
9.65,-35.12,118.56,0.0,0.0,0.02,7.42,22,0,1
7.19,-11.64,220.3,0.0,0.0,1.95,9.44,21,0,0
5.76,-6.66,226.17,0.0,0.0,0.84,8.55,21,0,0
84.56,40.1,208.36,0.0,0.0,0.16,7.74,22,0,1
146.07,-10.35,196.74,0.0,0.0,0.42,8.17,21,0,1
4.16,-3.25,220.01,0.0,0.0,0.44,8.24,21,0,1
-2.8,-26.73,153.17,0.0,0.0,0.07,7.56,22,0,1
3.97,-3.42,220.94,0.0,0.0,0.82,8.55,21,0,0
3.94,-3.92,221.28,0.0,0.0,0.75,8.48,21,0,0
-141.5,67.23,206.86,0.0,0.0,0.61,8.26,22,0,1
9.18,-5.31,225.43,0.0,0.0,0.98,8.71,21,0,0
120.83,1.26,128.52,0.0,0.0,0.09,7.65,22,0,1
16.29,-64.84,261.59,0.0,0.0,0.04,7.46,22,0,1
131.14,-41.8,346.57,0.0,0.0,0.02,7.2,22,0,1
43.17,10.09,191.5,0.0,0.0,1.31,8.97,21,0,0
9.65,-35.09,117.76,0.0,0.0,0.02,7.49,22,0,1
4.27,9.79,185.77,0.0,0.0,0.51,7.96,22,0,1
-125.92,56.27,355.6,0.0,0.0,0.23,7.79,22,0,1
7.22,-4.68,225.92,0.0,0.0,1.22,8.85,21,0,0
9.51,-34.52,144.43,0.0,0.0,0.04,7.56,22,0,1
-2.83,-27.18,159.05,0.0,0.0,0.07,7.58,22,0,1
3.45,-2.28,216.64,0.0,0.0,0.49,8.26,21,0,1
-21.17,-43.18,118.89,0.0,0.0,0.07,7.6,22,0,1
-0.08,3.73,343.6,0.0,0.0,0.07,7.56,22,0,1
-62.88,-28.35,317.85,0.0,0.0,0.04,6.83,22,0,1
7.32,-4.96,226.28,0.0,0.0,1.13,8.78,21,0,0
123.54,-5.21,69.61,0.0,0.0,0.7,8.17,22,0,1
117.48,-3.43,132.18,0.0,0.0,0.04,7.39,22,0,1
59.47,-32.21,84.72,0.0,0.0,0.16,7.74,22,0,1
-3.87,-1.34,155.1,0.0,0.0,1.22,8.83,21,0,0
113.3,1.93,129.91,0.0,0.0,0.07,7.58,22,0,1
-136.27,-6.34,167.51,0.0,0.0,0.04,7.42,22,0,1
4.92,-6.99,226.61,0.0,0.0,1.1,8.81,21,0,0
11.47,4.03,189.57,0.0,0.0,0.44,8.24,21,0,1
109.08,-13.27,208.34,0.0,0.0,0.09,7.77,22,0,1
-19.31,13.91,174.18,0.0,0.0,0.07,7.58,22,0,1
10.03,-34.75,129.48,0.0,0.0,0.04,7.44,22,0,1
-163.87,7.61,177.19,0.0,0.0,0.04,7.37,22,0,1
121.79,-45.51,358.16,0.0,0.0,0.35,7.89,22,0,1
-0.19,3.65,342.92,0.0,0.0,0.07,7.51,22,0,1
4.48,-3.78,221.21,0.0,0.0,0.72,8.43,21,0,0
131.44,-26.05,163.56,0.0,0.0,0.18,7.79,22,0,1
63.91,44.25,34.5,0.0,0.0,0.04,7.39,22,0,1
163.11,13.26,353.28,0.0,0.0,1.17,8.55,22,0,0
-50.59,-55.88,179.53,0.0,0.0,0.02,7.2,22,0,1
3.66,-8.58,188.04,0.0,0.0,1.22,8.78,21,0,0
-155.36,-61.22,315.85,0.0,0.0,0.04,7.49,22,0,1
3.82,4.25,292.02,0.0,0.0,0.3,7.77,22,0,1
6.89,-4.91,226.16,0.0,0.0,1.29,8.85,21,0,0
10.04,-34.25,143.23,0.0,0.0,0.04,7.53,22,0,1
3.71,-3.65,220.27,0.0,0.0,0.87,8.57,21,0,0
3.14,3.64,294.78,0.0,0.0,0.32,7.96,22,0,1
5.12,-4.53,227.46,0.0,0.0,1.08,8.76,21,0,0
-3.52,-27.15,159.22,0.0,0.0,0.07,7.6,22,0,1
112.48,19.12,124.29,0.0,0.0,0.07,7.58,22,0,1
-24.79,58.02,12.57,0.0,0.0,0.35,8.1,22,0,1
44.14,-38.27,335.92,0.0,0.0,0.04,7.42,22,0,1
119.51,-34.14,150.92,0.0,0.0,0.02,6.99,22,0,1
-9.47,-17.29,166.3,0.0,0.0,0.07,7.7,22,0,1
6.5,-4.68,226.39,0.0,0.0,1.2,8.83,21,0,0
-1.12,56.75,43.22,0.0,0.0,0.4,8.1,22,0,1
-34.51,-71.92,302.25,0.0,0.0,0.04,7.27,22,0,1
117.63,54.67,132.75,0.0,0.0,0.11,7.7,22,0,1
-25.94,12.33,171.48,0.0,0.0,0.07,7.6,22,0,1
-168.82,-31.64,176.37,0.0,0.0,0.32,8.0,22,0,1
-42.94,19.44,287.48,0.0,0.0,0.8,8.4,21,0,1
8.55,6.64,272.52,0.0,0.0,0.44,7.79,22,0,1
-47.31,42.53,349.13,0.0,0.0,0.09,7.72,22,0,1
-0.26,3.51,341.4,0.0,0.0,0.04,7.56,22,0,1
9.64,14.92,8.89,0.0,0.0,0.04,7.44,22,0,1
-7.49,4.24,18.62,0.0,0.0,1.34,8.9,21,0,0
